Numéro;Petite région agricole;Région agricole SAFER;Région agricole MdA;Vieille Région agricole MdA;code pra;code safer;code minister;code insee
51;Tardenois;Tardenois;Tardenois;Tardenois;pra391;ra217;ram217;51336
51;Vallée de la Marne;Vallée de la Marne;Vallée de la Marne;Vallée de la Marne;pra392;ra218;ram218;51016
51;Vignoble;Vignoble;Vignoble;Vignoble;pra393;ra219;ram219;51017
52;Barrois;Nord-est haut-marnais;Nord-Est, Haut Marnais;Barrois;pra394;ra220;ram220;52314
52;Barrois Vallée;Nord-est haut-marnais;Nord-Est, Haut Marnais;Barrois Vallée;pra395;ra220;ram220;52322
52;Bassigny;Bassigny, Vingeanne;Bassigny, Vingeanne;Bassigny;pra396;ra221;ram221;52310
52;Champagne humide;Nord-est haut-marnais;Nord-Est, Haut Marnais;Champagne humide;pra397;ra220;ram220;52318
52;Perthois;Nord-est haut-marnais;Nord-Est, Haut Marnais;Perthois;pra398;ra220;ram220;52321
52;Plateau Langrois Amance;Plateau Langrois;Plateau Langrois;Plateau Langrois Amance;pra399;ra222;ram222;52009
52;Plateau Langrois Apance;Plateau Langrois;Plateau Langrois;Plateau Langrois Apance;pra400;ra222;ram222;52008
52;Plateau Langrois montagne;Plateau Langrois;Plateau Langrois;Plateau Langrois montagne;pra401;ra222;ram222;52311
52;Vallage;Nord-est haut-marnais;Nord-Est, Haut Marnais;Vallage;pra402;ra220;ram220;52012
52;Vingeanne;Bassigny, Vingeanne;Bassigny, Vingeanne;Vingeanne;pra403;ra221;ram221;52312
53;Bocage angevin;Bocage angevin;Bocage Angevin;Bocage Angevin;pra404;ra223;ram223;53356
53;Région d'embouche de l’Erve;Région d'embouche de l’Erve;Région d'embouche de l'Erve;Région d'embouche de l'Erve;pra405;ra224;ram224;53095
53;Région des polycultures de Laval;Région des polycultures de Laval;Région de polyculture de Laval;Région de polyculture de Laval;pra406;ra225;ram225;53096
53;Zone d’élevage;Zone d’élevage;Zone d'élevage;Zone d'élevage;pra407;ra226;ram226;53357
54;Côtes de Meuse;Plateau lorrain, La Haye, Montagne vosgienne, Côtes de Meuse;Plateau lorrain, La Haye, montagne vosgienne, côtes de Meuse;Côtes de Meuse;pra408;ra227;ram227;54313
